ai_evidence_review_status,batch_id,cdss_release_level,clinical_review_status,confidence,conflict_status,created_at,evidence_count,evidence_ids,formal_cdss_ready,id,merge_status,polarity,relationCategory,relationType,review_status,schema_version,scope_target,scope_type,source_code,target_code
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-3B8D933CEAC327542E56,delta_migration,positive,pathway,has_clinical_pathway,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,DIS-CARD-CM-ATRIAL,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-D25DE0242EECEE258B10,delta_migration,positive,pathway,has_pathway_stage,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-01-ASSESSMENT
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-359F09AAEBA7E89D07CB,delta_migration,positive,pathway,has_stage_rule,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-01-ASSESSMENT,RULE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-01-ASSESSMENT
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-42AC42989B9A71A9285B,delta_migration,positive,pathway,has_recommended_action,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-01-ASSESSMENT,DXC-CARD-CM-ATRIAL-EHRA-CLASS
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-60477FE80488B1D0DD1A,delta_migration,positive,cdss_rule,recommends_action,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,RULE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-01-ASSESSMENT,DXC-CARD-CM-ATRIAL-EHRA-CLASS
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-55B5C06E1ED7D6BF429A,delta_migration,positive,pathway,has_pathway_stage,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,PATH-CARD-CM-ATRIAL-AF-STROKE-RISK,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-02-TREATMENT-DECISION
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,0,[],False,REL-F1FE3EEC14F6698039D6,delta_migration,positive,pathway,next_pathway_stage,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-01-ASSESSMENT,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-02-TREATMENT-DECISION
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-46D9230F7F737CFFCF2E,delta_migration,positive,pathway,has_stage_rule,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-02-TREATMENT-DECISION,RULE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-02-TREATMENT-DECISION
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-2508B14DEFDD9AA93603,delta_migration,positive,pathway,has_recommended_action,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,STAGE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-02-TREATMENT-DECISION,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT
ai_prechecked_limited,BATCH-CARD-STATIC-CDSS-MIGRATION-20260707,test_recommendation,pending_clinical_use_effect_review,0.86,none,2026-07-07 15:18:58,5,"['EVD-0EBC528F9F2374DA5B28-ATRIAL', 'EVD-28A6FE4B0E63BA664B7E-ATRIAL', 'EVD-74C08FDA665F90308028-ATRIAL', 'EVD-773C089A9E762740DADF-ATRIAL', 'EVD-B7158EA8F42BD3742755-ATRIAL']",False,REL-23331FE452B6BFFC2622,delta_migration,positive,cdss_rule,recommends_action,approved_for_sample,V1.9,冠心病、心肌病、室性心律失常、心脏性猝死及历史静态路径迁移,multi_disease_static_migration,RULE-MIG-PATH-CARD-CM-ATRIAL-AF-STROKE-RISK-02-TREATMENT-DECISION,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT
